id,hts_8digit,material_type,chapter_99_claim,chapter_99_disclaim,duty_rate,country_code,article_type,effective_start,effective_end,source_doc,source_doc_id,created_at,created_by
65,74112150,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528160,populate_tariff_tables.py v13.0
66,74198050,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528160,populate_tariff_tables.py v13.0
67,74082950,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528160,populate_tariff_tables.py v13.0
68,74112200,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528161,populate_tariff_tables.py v13.0
69,85444210,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528161,populate_tariff_tables.py v13.0
70,74091110,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528162,populate_tariff_tables.py v13.0
71,74112910,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528162,populate_tariff_tables.py v13.0
72,74091150,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528163,populate_tariff_tables.py v13.0
73,74112950,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528163,populate_tariff_tables.py v13.0
74,74091910,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528163,populate_tariff_tables.py v13.0
75,74121000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528164,populate_tariff_tables.py v13.0
76,85444910,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528164,populate_tariff_tables.py v13.0
77,74091950,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528165,populate_tariff_tables.py v13.0
78,74122000,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528165,populate_tariff_tables.py v13.0
79,72166100,steel,9903.80.01,9903.80.02,0.2500,,primary,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528166,populate_tariff_tables.py v13.0
80,72166100,steel,9903.80.01,9903.80.02,0.5000,,primary,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528166,populate_tariff_tables.py v13.0
81,72166900,steel,9903.80.01,9903.80.02,0.2500,,primary,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528166,populate_tariff_tables.py v13.0
82,72166900,steel,9903.80.01,9903.80.02,0.5000,,primary,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528167,populate_tariff_tables.py v13.0
83,72169100,steel,9903.80.01,9903.80.02,0.2500,,primary,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528167,populate_tariff_tables.py v13.0
84,72169100,steel,9903.80.01,9903.80.02,0.5000,,primary,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528168,populate_tariff_tables.py v13.0
85,73011000,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528168,populate_tariff_tables.py v13.0
